거래ID,구매일자,공급업체,지종,분류,평량(g/㎡),규격,수량(연),단가(원),공급가액,부가세,합계금액,입고창고,담당자,부서,결제조건
PO-00023,2025-04-18,전주페이퍼,스노우지,코팅지,250,A4,55,34630,1904650,190465,2095115,부산물류센터,김철수,구매1팀,30일 어음
PO-00024,2024-06-19,신풍제지,라이너지,골판지원지,250,636x939,447,80565,36012555,3601255,39613810,인천물류센터,이영희,생산지원팀,현금
PO-00025,2025-02-03,무림SP,라이너지,골판지원지,150,500x700,361,91788,33135468,3313546,36449014,안산창고,이영희,자재관리팀,30일 어음
PO-00026,2024-02-29,페이퍼코리아,이면지,재생지,70,A3,165,35492,5856180,585618,6441798,인천물류센터,최동욱,생산지원팀,계좌이체
PO-00027,2024-06-10,한솔제지,이면지,재생지,80,636x939,40,36907,1476280,147628,1623908,안산창고,정수진,구매1팀,계좌이체
PO-00028,2024-09-09,페이퍼코리아,복사용지,사무용지,70,A4,46,82948,3815608,381560,4197168,부산물류센터,최동욱,자재관리팀,60일 어음
PO-00029,2024-07-28,한국제지,백상지,비코팅지,150,500x700,72,67321,4847112,484711,5331823,광주창고,박민수,구매1팀,현금
PO-00030,2025-04-14,페이퍼코리아,복사용지,사무용지,80,788x1091,280,55938,15662640,1566264,17228904,부산물류센터,박민수,구매2팀,60일 어음
PO-00031,2024-03-11,전주페이퍼,아이보리지,판지,150,636x939,229,67651,15492079,1549207,17041286,부산물류센터,한지민,구매1팀,계좌이체
PO-00032,2024-11-02,무림페이퍼,모조지,비코팅지,150,788x1091,460,42029,19333340,1933334,21266674,부산물류센터,이영희,자재관리팀,60일 어음
PO-00033,2024-08-03,한국제지,백상지,비코팅지,150,A4,255,60914,15533070,1553307,17086377,인천물류센터,김철수,생산지원팀,60일 어음
PO-00034,2024-02-15,한솔제지,아이보리지,판지,100,A3,139,49178,6835742,683574,7519316,광주창고,최동욱,생산지원팀,계좌이체
PO-00035,2024-01-10,무림페이퍼,스노우지,코팅지,100,A4,23,76393,1757039,175703,1932742,부산물류센터,최동욱,구매2팀,90일 어음
PO-00036,2024-05-10,한솔제지,크라프트지,포장지,180,788x1091,465,74898,34827570,3482757,38310327,안산창고,한지민,구매2팀,현금
PO-00037,2024-12-28,아세아제지,마닐라지,판지,100,636x939,447,49299,22036653,2203665,24240318,안산창고,정수진,구매1팀,30일 어음
PO-00038,2024-12-06,신풍제지,백상지,비코팅지,150,636x939,408,42168,17204544,1720454,18924998,광주창고,김철수,생산지원팀,30일 어음
PO-00039,2024-07-23,대양제지,아이보리지,판지,150,636x939,119,31101,3701019,370101,4071120,안산창고,정수진,자재관리팀,60일 어음
PO-00040,2024-03-12,무림SP,아이보리지,판지,300,500x700,352,71404,25134208,2513420,27647628,인천물류센터,김철수,자재관리팀,30일 어음
PO-00041,2024-09-28,한솔제지,스노우지,코팅지,200,594x841,378,69114,26125092,2612509,28737601,광주창고,최동욱,구매1팀,90일 어음
PO-00042,2024-07-13,무림SP,아트지,코팅지,200,788x1091,271,53825,14586575,1458657,16045232,대전창고,정수진,구매1팀,60일 어음
PO-00043,2024-11-17,무림페이퍼,크라프트지,포장지,300,594x841,346,81528,28208688,2820868,31029556,대전창고,정수진,자재관리팀,계좌이체
PO-00044,2024-05-10,전주페이퍼,마닐라지,판지,200,A3,388,50810,19714280,1971428,21685708,부산물류센터,최동욱,자재관리팀,90일 어음
PO-00045,2024-01-01,무림SP,크라프트지,포장지,120,500x700,407,70237,28586459,2858645,31445104,광주창고,정수진,생산지원팀,30일 어음
PO-00046,2025-06-07,대양제지,모조지,비코팅지,80,594x841,268,71933,19278044,1927804,21205848,인천물류센터,이영희,자재관리팀,30일 어음
PO-00047,2024-07-22,깨끗한나라,아트지,코팅지,70,636x939,248,37545,9311160,931116,10242276,광주창고,정수진,구매2팀,90일 어음
PO-00048,2025-05-21,신풍제지,백상지,비코팅지,100,A3,357,28726,10255182,1025518,11280700,인천물류센터,정수진,구매2팀,30일 어음
PO-00049,2025-06-14,대양제지,아트지,코팅지,300,636x939,474,43906,20811444,2081144,22892588,광주창고,이영희,생산지원팀,계좌이체
PO-00050,2024-11-20,대양제지,복사용지,사무용지,300,500x700,430,86446,37171780,3717178,40888958,안산창고,한지민,생산지원팀,90일 어음
PO-00051,2024-09-22,전주페이퍼,크라프트지,포장지,300,500x700,325,59358,19291350,1929135,21220485,대전창고,정수진,구매1팀,60일 어음
PO-00052,2024-08-28,무림SP,아이보리지,판지,180,A4,46,46136,2122256,212225,2334481,안산창고,이영희,생산지원팀,30일 어음
PO-00053,2024-08-07,무림페이퍼,마닐라지,판지,200,594x841,282,89069,25117458,2511745,27629203,광주창고,김철수,구매2팀,90일 어음
PO-00054,2025-02-02,페이퍼코리아,아트지,코팅지,200,500x700,8,74105,592840,59284,652124,대전창고,정수진,생산지원팀,계좌이체
PO-00055,2024-08-13,대양제지,백상지,비코팅지,150,500x700,253,31804,8046412,804641,8851053,광주창고,박민수,생산지원팀,30일 어음
PO-00056,2025-04-23,깨끗한나라,복사용지,사무용지,300,788x1091,469,79645,37353505,3735350,41088855,부산물류센터,최동욱,구매1팀,현금
PO-00057,2025-03-14,깨끗한나라,라이너지,골판지원지,100,788x1091,138,77689,10721082,1072108,11793190,대전창고,이영희,생산지원팀,60일 어음
PO-00058,2024-12-11,신풍제지,크라프트지,포장지,200,594x841,432,38735,16733520,1673352,18406872,광주창고,김철수,구매1팀,60일 어음
PO-00059,2024-08-17,무림페이퍼,아트지,코팅지,70,636x939,107,30671,3281797,328179,3609976,부산물류센터,이영희,구매2팀,30일 어음
PO-00060,2025-04-29,무림페이퍼,복사용지,사무용지,120,500x700,363,61586,22355718,2235571,24591289,대전창고,이영희,구매1팀,30일 어음
PO-00061,2024-11-14,무림페이퍼,복사용지,사무용지,70,594x841,299,77192,23080408,2308040,25388448,광주창고,한지민,구매2팀,현금
PO-00062,2024-09-05,무림페이퍼,크라프트지,포장지,80,A4,405,33383,13520115,1352011,14872126,대전창고,최동욱,생산지원팀,60일 어음
PO-00063,2024-03-11,아세아제지,아이보리지,판지,70,500x700,426,92251,39298926,3929892,43228818,인천물류센터,정수진,자재관리팀,90일 어음
PO-00064,2024-06-05,신풍제지,모조지,비코팅지,300,A3,143,91372,13066196,1306619,14372815,광주창고,정수진,자재관리팀,60일 어음
PO-00065,2024-09-08,무림페이퍼,크라프트지,포장지,250,636x939,389,88910,34585990,3458599,38044589,부산물류센터,최동욱,생산지원팀,60일 어음
PO-00066,2024-01-30,대양제지,아이보리지,판지,100,500x700,113,74507,8419291,841929,9261220,대전창고,박민수,자재관리팀,계좌이체
PO-00067,2024-10-09,아세아제지,아트지,코팅지,300,636x939,48,59635,2862480,286248,3148728,광주창고,정수진,구매2팀,90일 어음
PO-00068,2025-05-17,대양제지,아트지,코팅지,80,594x841,118,81005,9558590,955859,10514449,안산창고,박민수,자재관리팀,90일 어음
PO-00069,2024-12-18,신풍제지,이면지,재생지,180,594x841,364,87473,31840172,3184017,35024189,대전창고,박민수,자재관리팀,30일 어음
PO-00070,2024-05-03,전주페이퍼,아이보리지,판지,80,A3,279,52267,14582493,1458249,16040742,안산창고,이영희,생산지원팀,60일 어음
PO-00071,2025-06-21,페이퍼코리아,크라프트지,포장지,80,636x939,156,57816,9019296,901929,9921225,대전창고,이영희,자재관리팀,현금
PO-00072,2024-05-09,무림SP,아트지,코팅지,70,A4,154,44551,6860854,686085,7546939,광주창고,김철수,구매1팀,계좌이체
PO-00073,2024-10-18,대양제지,라이너지,골판지원지,250,594x841,99,34734,3438666,343866,3782532,대전창고,정수진,구매1팀,현금
PO-00074,2025-02-14,대양제지,스노우지,코팅지,70,636x939,81,67824,5493744,549374,6043118,인천물류센터,이영희,구매1팀,계좌이체
PO-00075,2025-03-02,페이퍼코리아,복사용지,사무용지,120,A4,199,87049,17322751,1732275,19055026,광주창고,박민수,생산지원팀,60일 어음
PO-00076,2024-03-02,페이퍼코리아,스노우지,코팅지,120,A3,113,62687,7083631,708363,7791994,인천물류센터,이영희,구매2팀,30일 어음
PO-00077,2024-03-17,깨끗한나라,아트지,코팅지,200,500x700,357,89592,31984344,3198434,35182778,대전창고,김철수,구매2팀,60일 어음
PO-00078,2024-10-16,대양제지,스노우지,코팅지,120,594x841,408,53928,22002624,2200262,24202886,광주창고,김철수,구매2팀,30일 어음
PO-00079,2024-09-29,깨끗한나라,스노우지,코팅지,70,636x939,410,68319,28010790,2801079,30811869,부산물류센터,한지민,자재관리팀,90일 어음
PO-00080,2024-05-07,대양제지,크라프트지,포장지,200,594x841,261,92722,24200442,2420044,26620486,광주창고,김철수,구매1팀,90일 어음
PO-00081,2024-11-26,페이퍼코리아,크라프트지,포장지,70,788x1091,122,30719,3747718,374771,4122489,대전창고,최동욱,구매1팀,30일 어음
PO-00082,2025-04-26,아세아제지,라이너지,골판지원지,150,636x939,304,85132,25880128,2588012,28468140,광주창고,김철수,생산지원팀,60일 어음
PO-00083,2025-02-22,한국제지,아이보리지,판지,80,636x939,173,81955,14178215,1417821,15596036,광주창고,박민수,생산지원팀,계좌이체
PO-00084,2024-02-07,대양제지,스노우지,코팅지,180,594x841,170,43194,7342980,734298,8077278,광주창고,최동욱,구매1팀,계좌이체
PO-00085,2025-04-18,신풍제지,아트지,코팅지,120,A4,190,93338,17734220,1773422,19507642,광주창고,김철수,구매2팀,60일 어음
PO-00086,2024-05-14,무림SP,라이너지,골판지원지,250,788x1091,19,59365,1127935,112793,1240728,안산창고,박민수,구매1팀,계좌이체
PO-00087,2025-02-21,무림페이퍼,백상지,비코팅지,80,500x700,489,43396,21220644,2122064,23342708,안산창고,정수진,자재관리팀,계좌이체
PO-00088,2024-10-06,신풍제지,라이너지,골판지원지,250,636x939,238,46958,11176004,1117600,12293604,광주창고,이영희,구매2팀,현금
PO-00089,2024-10-09,신풍제지,아이보리지,판지,300,594x841,425,28336,12042800,1204280,13247080,대전창고,한지민,자재관리팀,계좌이체
PO-00090,2025-05-16,깨끗한나라,라이너지,골판지원지,300,500x700,181,71573,12954713,1295471,14250184,부산물류센터,최동욱,생산지원팀,90일 어음
PO-00091,2024-11-25,전주페이퍼,백상지,비코팅지,200,636x939,443,81841,36255563,3625556,39881119,인천물류센터,박민수,생산지원팀,90일 어음
PO-00092,2025-01-30,깨끗한나라,라이너지,골판지원지,70,636x939,262,71515,18736930,1873693,20610623,인천물류센터,정수진,구매1팀,계좌이체
PO-00093,2025-04-12,한솔제지,모조지,비코팅지,200,A3,84,37807,3175788,317578,3493366,광주창고,박민수,자재관리팀,계좌이체
PO-00094,2025-02-11,무림페이퍼,아이보리지,판지,300,500x700,493,69505,34265965,3426596,37692561,광주창고,최동욱,구매1팀,계좌이체
PO-00095,2024-03-11,전주페이퍼,크라프트지,포장지,120,A3,51,84881,4328931,432893,4761824,인천물류센터,한지민,구매1팀,90일 어음
PO-00096,2024-06-19,무림SP,아트지,코팅지,70,594x841,412,35355,14566260,1456626,16022886,대전창고,박민수,자재관리팀,90일 어음
PO-00097,2024-05-29,전주페이퍼,이면지,재생지,200,A4,354,51600,18266400,1826640,20093040,안산창고,이영희,구매1팀,계좌이체
PO-00098,2025-01-26,페이퍼코리아,백상지,비코팅지,250,A4,78,58433,4557774,455777,5013551,광주창고,한지민,자재관리팀,90일 어음
PO-00099,2024-09-18,한솔제지,라이너지,골판지원지,150,A3,284,48706,13832504,1383250,15215754,인천물류센터,정수진,자재관리팀,계좌이체
PO-00100,2024-11-02,신풍제지,크라프트지,포장지,250,594x841,106,78422,8312732,831273,9144005,광주창고,김철수,구매2팀,90일 어음
PO-00101,2025-01-02,페이퍼코리아,크라프트지,포장지,150,788x1091,429,79879,34268091,3426809,37694900,대전창고,김철수,구매1팀,계좌이체
PO-00102,2025-05-23,무림SP,백상지,비코팅지,180,636x939,330,52920,17463600,1746360,19209960,부산물류센터,박민수,구매2팀,현금
PO-00103,2024-02-10,무림SP,라이너지,골판지원지,70,A4,191,45224,8637784,863778,9501562,인천물류센터,박민수,자재관리팀,90일 어음
PO-00104,2024-06-28,전주페이퍼,모조지,비코팅지,300,594x841,276,93771,25880796,2588079,28468875,대전창고,이영희,자재관리팀,90일 어음
PO-00105,2024-10-29,한국제지,스노우지,코팅지,250,788x1091,77,57571,4432967,443296,4876263,광주창고,최동욱,자재관리팀,현금
PO-00106,2025-02-08,한솔제지,크라프트지,포장지,300,788x1091,237,76311,18085707,1808570,19894277,대전창고,최동욱,생산지원팀,60일 어음
PO-00107,2024-04-20,전주페이퍼,라이너지,골판지원지,70,A4,457,70992,32443344,3244334,35687678,부산물류센터,이영희,구매1팀,90일 어음
PO-00108,2024-11-05,신풍제지,스노우지,코팅지,100,788x1091,489,32877,16076853,1607685,17684538,대전창고,정수진,구매1팀,현금
PO-00109,2024-08-28,아세아제지,모조지,비코팅지,200,500x700,194,82935,16089390,1608939,17698329,부산물류센터,한지민,구매2팀,90일 어음
PO-00110,2024-04-11,대양제지,복사용지,사무용지,200,594x841,21,76566,1607886,160788,1768674,안산창고,정수진,생산지원팀,30일 어음
PO-00111,2025-01-06,무림페이퍼,아이보리지,판지,300,A3,188,35936,6755968,675596,7431564,광주창고,박민수,구매2팀,현금
PO-00112,2025-04-10,무림페이퍼,백상지,비코팅지,70,788x1091,407,71713,29187191,2918719,32105910,안산창고,이영희,구매2팀,현금
PO-00113,2024-07-31,페이퍼코리아,백상지,비코팅지,120,594x841,401,47340,18983340,1898334,20881674,부산물류센터,김철수,자재관리팀,30일 어음
PO-00114,2024-05-13,아세아제지,크라프트지,포장지,100,788x1091,343,31379,10762997,1076299,11839296,안산창고,김철수,자재관리팀,30일 어음
PO-00115,2024-11-27,한솔제지,모조지,비코팅지,150,788x1091,69,83176,5739144,573914,6313058,부산물류센터,김철수,구매1팀,90일 어음
PO-00116,2025-04-04,한국제지,이면지,재생지,80,500x700,262,57038,14943956,1494395,16438351,부산물류센터,김철수,자재관리팀,90일 어음
PO-00117,2024-02-01,한솔제지,라이너지,골판지원지,200,500x700,356,42150,15005400,1500540,16505940,광주창고,한지민,생산지원팀,현금
PO-00118,2024-03-23,한국제지,복사용지,사무용지,100,788x1091,69,64046,4419174,441917,4861091,부산물류센터,한지민,자재관리팀,90일 어음
PO-00119,2024-10-28,대양제지,이면지,재생지,200,788x1091,411,42996,17671356,1767135,19438491,부산물류센터,한지민,구매2팀,90일 어음
PO-00120,2025-04-07,전주페이퍼,마닐라지,판지,180,500x700,209,82524,17247516,1724751,18972267,인천물류센터,박민수,생산지원팀,60일 어음
PO-00121,2024-09-18,한국제지,모조지,비코팅지,250,788x1091,51,39188,1998588,199858,2198446,인천물류센터,정수진,구매1팀,60일 어음
PO-00122,2024-05-13,아세아제지,아트지,코팅지,300,A4,173,44021,7615633,761563,8377196,광주창고,박민수,생산지원팀,현금
PO-00123,2024-10-21,페이퍼코리아,크라프트지,포장지,180,788x1091,300,94507,28352100,2835210,31187310,안산창고,이영희,생산지원팀,30일 어음
PO-00124,2024-04-20,한국제지,이면지,재생지,180,788x1091,395,64512,25482240,2548224,28030464,부산물류센터,이영희,생산지원팀,계좌이체
PO-00125,2024-01-27,페이퍼코리아,크라프트지,포장지,70,636x939,144,68499,9863856,986385,10850241,대전창고,박민수,구매1팀,30일 어음
PO-00126,2024-05-26,페이퍼코리아,마닐라지,판지,80,636x939,384,32018,12294912,1229491,13524403,인천물류센터,한지민,구매2팀,90일 어음
PO-00127,2025-03-05,대양제지,아이보리지,판지,100,594x841,164,70517,11564788,1156478,12721266,부산물류센터,최동욱,구매1팀,현금
PO-00128,2024-06-08,깨끗한나라,복사용지,사무용지,70,A3,46,63665,2928590,292859,3221449,광주창고,한지민,생산지원팀,90일 어음
PO-00129,2025-03-28,신풍제지,크라프트지,포장지,120,A4,63,73242,4614246,461424,5075670,광주창고,김철수,자재관리팀,계좌이체
PO-00130,2025-05-13,아세아제지,크라프트지,포장지,70,636x939,207,35180,7282260,728226,8010486,인천물류센터,이영희,자재관리팀,30일 어음
PO-00131,2024-05-20,무림SP,크라프트지,포장지,180,788x1091,8,93193,745544,74554,820098,광주창고,이영희,구매2팀,90일 어음
PO-00132,2024-08-23,아세아제지,이면지,재생지,180,788x1091,208,33544,6977152,697715,7674867,광주창고,김철수,생산지원팀,현금
PO-00133,2024-11-16,페이퍼코리아,마닐라지,판지,200,A3,332,82747,27472004,2747200,30219204,대전창고,김철수,생산지원팀,현금
PO-00134,2024-11-28,깨끗한나라,복사용지,사무용지,250,A3,475,75428,35828300,3582830,39411130,인천물류센터,정수진,구매1팀,30일 어음
PO-00135,2025-03-22,페이퍼코리아,마닐라지,판지,300,788x1091,207,68668,14214276,1421427,15635703,대전창고,이영희,자재관리팀,30일 어음
PO-00136,2024-03-19,아세아제지,스노우지,코팅지,300,A4,104,73793,7674472,767447,8441919,대전창고,한지민,구매2팀,30일 어음
PO-00137,2024-04-15,깨끗한나라,크라프트지,포장지,120,636x939,313,48036,15035268,1503526,16538794,인천물류센터,이영희,생산지원팀,90일 어음
PO-00138,2025-04-04,페이퍼코리아,복사용지,사무용지,180,A3,166,47786,7932476,793247,8725723,광주창고,김철수,생산지원팀,90일 어음
PO-00139,2024-11-06,무림SP,복사용지,사무용지,70,594x841,264,37724,9959136,995913,10955049,대전창고,정수진,생산지원팀,현금
PO-00140,2024-02-28,한국제지,크라프트지,포장지,80,A3,447,39835,17806245,1780624,19586869,부산물류센터,최동욱,생산지원팀,90일 어음
PO-00141,2024-02-12,대양제지,복사용지,사무용지,120,594x841,314,90341,28367074,2836707,31203781,부산물류센터,이영희,구매1팀,90일 어음
PO-00142,2024-04-15,한국제지,스노우지,코팅지,300,A3,93,33130,3081090,308109,3389199,안산창고,한지민,생산지원팀,90일 어음
PO-00143,2025-06-20,아세아제지,복사용지,사무용지,100,594x841,195,65079,12690405,1269040,13959445,광주창고,정수진,자재관리팀,계좌이체
PO-00144,2024-02-23,한국제지,스노우지,코팅지,180,788x1091,290,78667,22813430,2281343,25094773,대전창고,박민수,구매2팀,60일 어음
PO-00145,2024-03-24,페이퍼코리아,모조지,비코팅지,180,594x841,500,79374,39687000,3968700,43655700,안산창고,최동욱,구매1팀,60일 어음
PO-00146,2025-01-20,한국제지,모조지,비코팅지,300,788x1091,335,83496,27971160,2797116,30768276,부산물류센터,박민수,구매1팀,60일 어음
PO-00147,2024-11-12,깨끗한나라,백상지,비코팅지,180,500x700,103,57693,5942379,594237,6536616,안산창고,이영희,구매1팀,60일 어음
PO-00148,2024-04-13,아세아제지,이면지,재생지,300,788x1091,343,72140,24744020,2474402,27218422,부산물류센터,이영희,생산지원팀,30일 어음
PO-00149,2024-06-15,깨끗한나라,복사용지,사무용지,100,A3,229,33726,7723254,772325,8495579,광주창고,박민수,구매2팀,90일 어음
PO-00150,2024-10-18,대양제지,백상지,비코팅지,300,636x939,163,89474,14584262,1458426,16042688,안산창고,박민수,생산지원팀,90일 어음
PO-00151,2024-10-15,신풍제지,이면지,재생지,300,500x700,499,49241,24571259,2457125,27028384,안산창고,최동욱,구매2팀,60일 어음
PO-00152,2024-02-23,대양제지,아이보리지,판지,300,788x1091,369,44341,16361829,1636182,17998011,대전창고,김철수,구매2팀,60일 어음
PO-00153,2025-04-05,아세아제지,모조지,비코팅지,200,788x1091,489,57102,27922878,2792287,30715165,광주창고,박민수,구매1팀,90일 어음
PO-00154,2024-02-24,신풍제지,이면지,재생지,180,636x939,202,38696,7816592,781659,8598251,대전창고,이영희,구매1팀,60일 어음
PO-00155,2024-04-11,한국제지,모조지,비코팅지,100,788x1091,151,89925,13578675,1357867,14936542,안산창고,한지민,생산지원팀,90일 어음
PO-00156,2024-01-06,무림페이퍼,아트지,코팅지,150,636x939,432,47597,20561904,2056190,22618094,부산물류센터,한지민,생산지원팀,현금
PO-00157,2024-10-22,전주페이퍼,크라프트지,포장지,80,788x1091,127,83027,10544429,1054442,11598871,부산물류센터,정수진,구매1팀,현금
PO-00158,2025-05-26,페이퍼코리아,이면지,재생지,70,A3,268,59711,16002548,1600254,17602802,안산창고,박민수,생산지원팀,현금
PO-00159,2024-12-27,전주페이퍼,복사용지,사무용지,200,636x939,345,39221,13531245,1353124,14884369,부산물류센터,박민수,구매1팀,계좌이체
PO-00160,2025-06-03,아세아제지,이면지,재생지,70,500x700,452,89621,40508692,4050869,44559561,인천물류센터,한지민,생산지원팀,60일 어음
PO-00161,2024-09-16,한솔제지,아이보리지,판지,80,594x841,128,41587,5323136,532313,5855449,부산물류센터,한지민,자재관리팀,30일 어음
PO-00162,2024-02-15,한국제지,이면지,재생지,180,A3,94,88899,8356506,835650,9192156,광주창고,한지민,구매2팀,30일 어음
PO-00163,2024-03-05,대양제지,아트지,코팅지,150,636x939,27,54144,1461888,146188,1608076,인천물류센터,박민수,자재관리팀,계좌이체
PO-00164,2025-02-11,아세아제지,라이너지,골판지원지,150,788x1091,390,53048,20688720,2068872,22757592,대전창고,박민수,구매1팀,60일 어음
PO-00165,2024-10-06,무림페이퍼,아이보리지,판지,200,500x700,385,85637,32970245,3297024,36267269,광주창고,박민수,구매2팀,90일 어음
PO-00166,2025-05-24,한국제지,이면지,재생지,150,788x1091,377,83640,31532280,3153228,34685508,인천물류센터,정수진,구매2팀,계좌이체
PO-00167,2024-10-27,한국제지,스노우지,코팅지,80,594x841,343,66750,22895250,2289525,25184775,대전창고,정수진,생산지원팀,30일 어음
PO-00168,2025-03-30,한국제지,라이너지,골판지원지,70,A3,450,74210,33394500,3339450,36733950,부산물류센터,정수진,자재관리팀,현금
PO-00169,2024-03-17,신풍제지,아이보리지,판지,300,A3,352,48969,17237088,1723708,18960796,인천물류센터,이영희,생산지원팀,현금
PO-00170,2024-05-09,무림페이퍼,백상지,비코팅지,180,594x841,201,32244,6481044,648104,7129148,부산물류센터,이영희,생산지원팀,60일 어음
PO-00171,2025-01-15,대양제지,스노우지,코팅지,100,A4,192,80171,15392832,1539283,16932115,대전창고,한지민,자재관리팀,30일 어음
PO-00172,2024-04-26,한솔제지,모조지,비코팅지,250,A4,203,43435,8817305,881730,9699035,대전창고,박민수,생산지원팀,30일 어음
PO-00173,2024-10-19,대양제지,백상지,비코팅지,80,636x939,441,37706,16628346,1662834,18291180,광주창고,이영희,생산지원팀,현금
PO-00174,2024-11-23,한국제지,스노우지,코팅지,300,A4,153,67315,10299195,1029919,11329114,안산창고,한지민,구매2팀,60일 어음
PO-00175,2025-06-04,전주페이퍼,스노우지,코팅지,120,636x939,126,92752,11686752,1168675,12855427,인천물류센터,박민수,자재관리팀,90일 어음
PO-00176,2024-05-12,페이퍼코리아,스노우지,코팅지,80,594x841,208,90739,18873712,1887371,20761083,부산물류센터,정수진,생산지원팀,계좌이체
PO-00177,2024-03-16,깨끗한나라,아이보리지,판지,80,500x700,243,73156,17776908,1777690,19554598,안산창고,최동욱,구매2팀,30일 어음
PO-00178,2025-03-19,아세아제지,아트지,코팅지,80,A4,83,67862,5632546,563254,6195800,안산창고,이영희,자재관리팀,30일 어음
PO-00179,2024-12-20,아세아제지,크라프트지,포장지,80,594x841,105,63972,6717060,671706,7388766,안산창고,한지민,자재관리팀,계좌이체
PO-00180,2024-04-05,아세아제지,모조지,비코팅지,100,636x939,342,72252,24710184,2471018,27181202,부산물류센터,김철수,구매1팀,현금
PO-00181,2024-02-16,페이퍼코리아,크라프트지,포장지,120,A4,218,31969,6969242,696924,7666166,광주창고,한지민,자재관리팀,60일 어음
PO-00182,2025-05-09,전주페이퍼,마닐라지,판지,150,500x700,42,35852,1505784,150578,1656362,안산창고,정수진,생산지원팀,90일 어음
PO-00183,2025-04-20,전주페이퍼,아이보리지,판지,100,594x841,446,69853,31154438,3115443,34269881,대전창고,정수진,구매2팀,60일 어음
PO-00184,2025-06-11,아세아제지,스노우지,코팅지,180,636x939,243,44059,10706337,1070633,11776970,대전창고,정수진,구매2팀,30일 어음
PO-00185,2024-04-09,한솔제지,크라프트지,포장지,200,A4,219,60541,13258479,1325847,14584326,안산창고,박민수,자재관리팀,30일 어음
PO-00186,2024-06-12,대양제지,이면지,재생지,250,500x700,455,68441,31140655,3114065,34254720,광주창고,김철수,구매1팀,90일 어음
PO-00187,2025-06-01,대양제지,백상지,비코팅지,120,A4,185,34377,6359745,635974,6995719,인천물류센터,박민수,생산지원팀,계좌이체
