기록ID,일자,창고,지종,평량(g/㎡),구분,입고수량(연),출고수량(연),재고수량(연),단위원가,재고금액,LOT번호,비고
INV-00057,2024-02-09,부산물류센터,이면지,80,출고,0,86,109,89112,9713208,LOT-2402-618,라벨확인
INV-00058,2024-01-02,광주창고,이면지,200,입고,407,0,886,64722,57343692,LOT-2401-440,정상
INV-00059,2025-05-08,광주창고,아이보리지,80,입고,180,0,715,61269,43807335,LOT-2505-785,정상
INV-00060,2024-03-26,대전창고,복사용지,300,출고,0,116,402,30358,12203916,LOT-2403-727,
INV-00061,2025-06-19,인천물류센터,이면지,70,조정,0,0,467,75073,35059091,LOT-2506-824,긴급
INV-00062,2025-02-22,대전창고,스노우지,100,조정,0,0,543,46622,25315746,LOT-2502-268,라벨확인
INV-00063,2025-03-09,부산물류센터,아이보리지,150,출고,0,124,672,57081,38358432,LOT-2503-566,라벨확인
INV-00064,2025-05-09,안산창고,아이보리지,300,출고,0,149,1015,50096,50847440,LOT-2505-592,긴급
INV-00065,2025-02-11,안산창고,스노우지,120,조정,0,0,587,40603,23833961,LOT-2502-103,정상
INV-00066,2025-06-04,광주창고,아이보리지,300,조정,0,0,741,76320,56553120,LOT-2506-054,정상
INV-00067,2025-02-02,인천물류센터,스노우지,100,조정,0,0,579,35776,20714304,LOT-2502-066,긴급
INV-00068,2024-08-15,대전창고,스노우지,70,출고,0,286,207,48774,10096218,LOT-2408-729,라벨확인
INV-00069,2024-02-28,안산창고,라이너지,250,입고,485,0,595,73049,43464155,LOT-2402-954,라벨확인
INV-00070,2024-10-19,안산창고,아트지,300,조정,0,0,612,70317,43034004,LOT-2410-174,
INV-00071,2025-01-03,안산창고,아트지,100,출고,0,188,0,53142,0,LOT-2501-686,재검수
INV-00072,2025-02-19,부산물류센터,백상지,300,조정,0,0,130,34496,4484480,LOT-2502-942,
INV-00073,2024-10-18,부산물류센터,복사용지,180,출고,0,135,320,69738,22316160,LOT-2410-987,정상
INV-00074,2025-04-10,광주창고,복사용지,70,입고,258,0,625,63176,39485000,LOT-2504-110,라벨확인
INV-00075,2024-03-15,부산물류센터,크라프트지,180,조정,0,0,205,87416,17920280,LOT-2403-551,라벨확인
INV-00076,2024-09-13,광주창고,마닐라지,250,출고,0,254,95,74668,7093460,LOT-2409-472,라벨확인
INV-00077,2024-01-29,광주창고,스노우지,150,출고,0,132,37,74362,2751394,LOT-2401-719,정상
INV-00078,2024-11-19,광주창고,아이보리지,300,입고,408,0,1149,84537,97133013,LOT-2411-270,정상
INV-00079,2024-10-21,인천물류센터,마닐라지,180,조정,0,0,206,41697,8589582,LOT-2410-488,긴급
INV-00080,2024-12-28,안산창고,복사용지,150,조정,0,0,300,89633,26889900,LOT-2412-195,재검수
INV-00081,2024-07-23,안산창고,백상지,150,입고,153,0,584,84718,49475312,LOT-2407-256,라벨확인
INV-00082,2024-12-30,안산창고,스노우지,80,조정,0,0,192,62287,11959104,LOT-2412-629,
INV-00083,2024-02-13,광주창고,아이보리지,180,조정,0,0,629,48004,30194516,LOT-2402-503,정상
INV-00084,2025-06-07,대전창고,마닐라지,120,입고,77,0,804,64454,51821016,LOT-2506-819,재검수
INV-00085,2025-05-04,부산물류센터,아트지,300,출고,0,109,346,59962,20746852,LOT-2505-124,라벨확인
INV-00086,2025-04-16,대전창고,아트지,70,입고,244,0,1034,68076,70390584,LOT-2504-104,긴급
INV-00087,2025-01-05,부산물류센터,크라프트지,100,출고,0,141,520,47655,24780600,LOT-2501-483,라벨확인
INV-00088,2024-12-17,대전창고,모조지,250,입고,264,0,798,75921,60584958,LOT-2412-771,긴급
INV-00089,2025-01-08,광주창고,크라프트지,250,조정,0,0,262,67741,17748142,LOT-2501-703,정상
INV-00090,2024-04-12,대전창고,백상지,300,출고,0,120,422,39558,16693476,LOT-2404-820,정상
INV-00091,2025-04-29,인천물류센터,모조지,200,입고,484,0,1095,71330,78106350,LOT-2504-530,라벨확인
INV-00092,2024-11-19,광주창고,크라프트지,150,조정,0,0,648,56109,36358632,LOT-2411-102,정상
INV-00093,2024-03-02,안산창고,크라프트지,250,입고,280,0,1024,78797,80688128,LOT-2403-343,긴급
INV-00094,2025-01-04,대전창고,이면지,300,출고,0,30,333,56985,18976005,LOT-2501-125,긴급
INV-00095,2024-07-22,부산물류센터,복사용지,300,출고,0,201,77,51305,3950485,LOT-2407-690,라벨확인
INV-00096,2025-05-14,광주창고,스노우지,200,출고,0,257,471,71399,33628929,LOT-2505-980,정상
INV-00097,2024-06-20,대전창고,마닐라지,200,입고,132,0,305,52519,16018295,LOT-2406-234,긴급
INV-00098,2024-11-20,대전창고,크라프트지,200,출고,0,205,172,79014,13590408,LOT-2411-602,라벨확인
INV-00099,2025-04-06,광주창고,모조지,100,입고,422,0,545,45376,24729920,LOT-2504-678,긴급
INV-00100,2024-03-22,안산창고,모조지,200,입고,82,0,287,87585,25136895,LOT-2403-485,라벨확인
INV-00101,2024-02-25,인천물류센터,마닐라지,300,입고,184,0,369,70507,26017083,LOT-2402-160,
INV-00102,2025-02-03,대전창고,백상지,120,출고,0,84,506,38603,19533118,LOT-2502-540,정상
INV-00103,2024-01-30,인천물류센터,아이보리지,180,출고,0,296,291,47852,13924932,LOT-2401-562,재검수
INV-00104,2024-05-18,부산물류센터,모조지,250,조정,0,0,612,87494,53546328,LOT-2405-578,재검수
INV-00105,2025-06-20,부산물류센터,크라프트지,180,조정,0,0,189,82737,15637293,LOT-2506-092,재검수
INV-00106,2024-11-11,대전창고,마닐라지,150,출고,0,25,234,30006,7021404,LOT-2411-536,정상
INV-00107,2024-12-18,대전창고,라이너지,300,조정,0,0,137,62239,8526743,LOT-2412-970,재검수
INV-00108,2024-11-02,인천물류센터,마닐라지,150,입고,457,0,1168,30473,35592464,LOT-2411-562,긴급
INV-00109,2024-07-12,광주창고,이면지,200,입고,133,0,1019,76854,78314226,LOT-2407-755,재검수
INV-00110,2025-01-22,안산창고,크라프트지,80,조정,0,0,517,63856,33013552,LOT-2501-783,라벨확인
INV-00111,2024-10-05,대전창고,이면지,150,입고,486,0,1008,34486,34761888,LOT-2410-187,정상
INV-00112,2024-10-23,인천물류센터,라이너지,250,조정,0,0,387,62243,24088041,LOT-2410-193,긴급
INV-00113,2024-01-20,안산창고,아트지,300,입고,102,0,714,48488,34620432,LOT-2401-276,정상
INV-00114,2025-03-24,인천물류센터,백상지,80,입고,302,0,556,44233,24593548,LOT-2503-351,재검수
INV-00115,2024-11-15,광주창고,아이보리지,250,출고,0,61,71,85282,6055022,LOT-2411-769,정상
INV-00116,2024-02-27,대전창고,마닐라지,80,출고,0,112,544,42595,23171680,LOT-2402-918,긴급
INV-00117,2025-01-25,인천물류센터,스노우지,120,출고,0,146,348,78340,27262320,LOT-2501-035,정상
INV-00118,2025-04-16,인천물류센터,이면지,120,출고,0,179,405,51172,20724660,LOT-2504-163,
INV-00119,2025-06-17,인천물류센터,크라프트지,250,출고,0,121,632,53620,33887840,LOT-2506-909,
INV-00120,2024-08-11,인천물류센터,백상지,200,입고,135,0,567,82061,46528587,LOT-2408-283,라벨확인
INV-00121,2024-05-02,광주창고,백상지,70,조정,0,0,163,75269,12268847,LOT-2405-487,라벨확인
INV-00122,2024-06-07,대전창고,스노우지,120,출고,0,66,493,74954,36952322,LOT-2406-634,긴급
INV-00123,2024-03-02,인천물류센터,아이보리지,100,입고,114,0,763,61971,47283873,LOT-2403-239,긴급
INV-00124,2024-12-21,광주창고,백상지,70,출고,0,88,75,46429,3482175,LOT-2412-921,
INV-00125,2025-05-11,광주창고,이면지,150,조정,0,0,656,42437,27838672,LOT-2505-581,정상
INV-00126,2024-12-22,대전창고,라이너지,150,조정,0,0,693,34513,23917509,LOT-2412-544,정상
INV-00127,2025-04-05,대전창고,크라프트지,300,출고,0,20,455,80850,36786750,LOT-2504-654,라벨확인
INV-00128,2025-01-23,안산창고,아트지,180,입고,214,0,949,77251,73311199,LOT-2501-065,라벨확인
INV-00129,2025-01-31,안산창고,이면지,250,입고,363,0,1027,48555,49865985,LOT-2501-331,재검수
INV-00130,2024-11-25,인천물류센터,스노우지,300,입고,72,0,846,84735,71685810,LOT-2411-961,정상
INV-00131,2024-07-01,인천물류센터,백상지,80,입고,100,0,656,32085,21047760,LOT-2407-585,재검수
INV-00132,2025-05-16,부산물류센터,복사용지,150,출고,0,133,17,69711,1185087,LOT-2505-736,
INV-00133,2024-01-14,안산창고,라이너지,80,조정,0,0,552,53653,29616456,LOT-2401-572,재검수
INV-00134,2025-01-12,인천물류센터,복사용지,150,입고,425,0,1066,34612,36896392,LOT-2501-855,긴급
INV-00135,2024-03-20,안산창고,이면지,80,조정,0,0,863,64842,55958646,LOT-2403-395,정상
INV-00136,2024-07-16,부산물류센터,백상지,100,조정,0,0,676,57209,38673284,LOT-2407-765,
INV-00137,2025-01-01,광주창고,마닐라지,80,입고,331,0,601,56316,33845916,LOT-2501-517,긴급
INV-00138,2024-06-10,부산물류센터,복사용지,250,출고,0,186,274,85368,23390832,LOT-2406-381,재검수
INV-00139,2025-03-16,대전창고,복사용지,120,조정,0,0,659,54580,35968220,LOT-2503-785,라벨확인
INV-00140,2024-09-17,대전창고,라이너지,250,입고,421,0,927,32271,29915217,LOT-2409-292,라벨확인
INV-00141,2024-01-17,부산물류센터,모조지,150,출고,0,106,0,44078,0,LOT-2401-877,긴급
INV-00142,2024-01-23,대전창고,이면지,300,조정,0,0,362,67461,24420882,LOT-2401-159,
INV-00143,2024-02-08,광주창고,아이보리지,100,출고,0,207,34,88302,3002268,LOT-2402-597,정상
INV-00144,2024-08-26,대전창고,크라프트지,80,출고,0,131,553,78120,43200360,LOT-2408-080,긴급
INV-00145,2025-05-09,안산창고,라이너지,80,조정,0,0,541,32449,17554909,LOT-2505-749,라벨확인
INV-00146,2025-01-25,인천물류센터,아트지,180,출고,0,233,223,86874,19372902,LOT-2501-124,정상
INV-00147,2024-01-12,광주창고,아트지,150,입고,213,0,849,65384,55511016,LOT-2401-579,정상
INV-00148,2024-11-30,부산물류센터,백상지,100,조정,0,0,692,55747,38576924,LOT-2411-995,재검수
INV-00149,2025-05-31,인천물류센터,백상지,200,출고,0,95,472,38663,18248936,LOT-2505-345,
INV-00150,2025-05-02,부산물류센터,아트지,300,출고,0,63,283,56117,15881111,LOT-2505-514,재검수
INV-00151,2024-05-13,안산창고,라이너지,300,출고,0,222,80,72745,5819600,LOT-2405-586,정상
INV-00152,2025-06-20,안산창고,백상지,80,출고,0,185,428,74874,32046072,LOT-2506-947,라벨확인
INV-00153,2024-04-01,인천물류센터,마닐라지,200,출고,0,117,357,51019,18213783,LOT-2404-353,라벨확인
INV-00154,2024-01-25,대전창고,모조지,180,출고,0,94,249,58866,14657634,LOT-2401-046,정상
INV-00155,2024-07-23,대전창고,모조지,80,조정,0,0,188,45928,8634464,LOT-2407-972,라벨확인
INV-00156,2024-05-31,대전창고,아트지,180,출고,0,213,0,60879,0,LOT-2405-024,긴급
INV-00157,2024-08-02,부산물류센터,백상지,120,조정,0,0,677,46951,31785827,LOT-2408-562,재검수
INV-00158,2024-05-24,인천물류센터,마닐라지,300,출고,0,107,262,33939,8892018,LOT-2405-291,정상
INV-00159,2024-10-04,인천물류센터,라이너지,70,출고,0,158,10,73449,734490,LOT-2410-873,긴급
INV-00160,2024-04-20,인천물류센터,크라프트지,200,출고,0,280,56,76510,4284560,LOT-2404-102,긴급
INV-00161,2025-05-11,부산물류센터,이면지,80,입고,306,0,415,60014,24905810,LOT-2505-575,
INV-00162,2024-02-10,안산창고,이면지,150,출고,0,221,220,78784,17332480,LOT-2402-161,
INV-00163,2024-12-21,대전창고,아이보리지,150,조정,0,0,328,83208,27292224,LOT-2412-064,긴급
INV-00164,2025-01-31,인천물류센터,이면지,150,입고,224,0,597,88797,53011809,LOT-2501-403,정상
INV-00165,2024-03-30,광주창고,이면지,120,입고,343,0,870,40010,34808700,LOT-2403-437,긴급
INV-00166,2024-12-03,광주창고,이면지,100,조정,0,0,289,68078,19674542,LOT-2412-555,정상
INV-00167,2024-05-21,대전창고,이면지,100,입고,385,0,925,67017,61990725,LOT-2405-940,정상
INV-00168,2024-11-21,인천물류센터,이면지,300,입고,212,0,433,85018,36812794,LOT-2411-901,정상
INV-00169,2024-01-31,대전창고,마닐라지,200,출고,0,160,145,39958,5793910,LOT-2401-798,정상
INV-00170,2024-04-19,안산창고,모조지,70,조정,0,0,713,69688,49687544,LOT-2404-581,라벨확인
INV-00171,2024-08-24,부산물류센터,백상지,120,출고,0,60,617,75098,46335466,LOT-2408-799,재검수
INV-00172,2024-05-17,부산물류센터,복사용지,250,출고,0,114,160,85845,13735200,LOT-2405-397,재검수
INV-00173,2025-04-30,안산창고,모조지,120,입고,259,0,590,80104,47261360,LOT-2504-993,
INV-00174,2024-10-03,광주창고,백상지,120,입고,140,0,449,58788,26395812,LOT-2410-888,라벨확인
INV-00175,2025-05-16,대전창고,라이너지,120,출고,0,41,496,69841,34641136,LOT-2505-753,재검수
INV-00176,2024-11-16,광주창고,복사용지,300,조정,0,0,888,76144,67615872,LOT-2411-806,
INV-00177,2025-06-17,인천물류센터,라이너지,250,입고,315,0,702,65249,45804798,LOT-2506-406,
INV-00178,2025-01-31,부산물류센터,아트지,120,출고,0,223,175,87959,15392825,LOT-2501-312,긴급
INV-00179,2025-04-17,안산창고,마닐라지,150,입고,403,0,1130,63880,72184400,LOT-2504-926,정상
INV-00180,2025-04-19,광주창고,스노우지,300,입고,448,0,663,68367,45327321,LOT-2504-961,라벨확인
INV-00181,2024-05-18,광주창고,마닐라지,180,입고,141,0,862,59732,51488984,LOT-2405-605,정상
INV-00182,2025-04-10,인천물류센터,크라프트지,180,조정,0,0,784,40747,31945648,LOT-2504-736,
INV-00183,2024-04-03,인천물류센터,라이너지,180,조정,0,0,202,55171,11144542,LOT-2404-745,라벨확인
INV-00184,2024-06-12,광주창고,이면지,200,입고,221,0,1240,67060,83154400,LOT-2406-893,정상
INV-00185,2024-06-15,안산창고,모조지,70,출고,0,178,535,77851,41650285,LOT-2406-788,재검수
INV-00186,2024-10-22,안산창고,스노우지,100,입고,368,0,675,80160,54108000,LOT-2410-260,
INV-00187,2025-04-14,광주창고,라이너지,300,조정,0,0,131,62339,8166409,LOT-2504-244,정상
INV-00188,2025-05-02,광주창고,마닐라지,250,조정,0,0,103,30430,3134290,LOT-2505-251,라벨확인
INV-00189,2024-10-11,부산물류센터,이면지,120,입고,125,0,275,33608,9242200,LOT-2410-669,긴급
INV-00190,2024-02-07,안산창고,아트지,150,입고,75,0,514,37136,19087904,LOT-2402-427,정상
INV-00191,2024-06-14,대전창고,복사용지,300,출고,0,204,198,32348,6404904,LOT-2406-096,긴급
INV-00192,2024-11-26,대전창고,마닐라지,80,조정,0,0,518,49191,25480938,LOT-2411-483,정상
INV-00193,2024-05-04,대전창고,아이보리지,300,조정,0,0,506,75601,38254106,LOT-2405-215,라벨확인
INV-00194,2024-02-29,인천물류센터,복사용지,300,출고,0,167,22,57987,1275714,LOT-2402-624,긴급
INV-00195,2024-09-22,부산물류센터,복사용지,180,조정,0,0,326,62531,20385106,LOT-2409-533,재검수
INV-00196,2025-05-19,안산창고,복사용지,120,입고,50,0,447,37746,16872462,LOT-2505-025,재검수
INV-00197,2024-04-30,안산창고,복사용지,200,입고,220,0,743,52914,39315102,LOT-2404-574,정상
INV-00198,2024-01-12,안산창고,크라프트지,150,출고,0,169,0,63206,0,LOT-2401-564,긴급
INV-00199,2024-01-07,인천물류센터,아이보리지,180,조정,0,0,297,70369,20899593,LOT-2401-984,
INV-00200,2024-06-28,안산창고,아이보리지,180,출고,0,262,526,82248,43262448,LOT-2406-037,정상
INV-00201,2025-05-08,안산창고,라이너지,300,출고,0,80,0,78666,0,LOT-2505-058,라벨확인
INV-00202,2024-11-02,부산물류센터,아이보리지,300,입고,156,0,507,67840,34394880,LOT-2411-702,긴급
INV-00203,2024-12-28,인천물류센터,모조지,150,출고,0,212,67,71059,4760953,LOT-2412-548,정상
INV-00204,2025-02-02,안산창고,복사용지,80,조정,0,0,439,50611,22218229,LOT-2502-727,
INV-00205,2024-10-05,광주창고,스노우지,250,출고,0,251,92,84359,7761028,LOT-2410-974,긴급
INV-00206,2024-08-09,부산물류센터,크라프트지,100,출고,0,39,481,80973,38948013,LOT-2408-207,
INV-00207,2025-03-30,부산물류센터,아트지,250,입고,147,0,759,52289,39687351,LOT-2503-946,재검수
INV-00208,2025-06-20,대전창고,아이보리지,100,조정,0,0,785,38697,30377145,LOT-2506-211,
INV-00209,2025-04-15,광주창고,이면지,80,출고,0,42,62,75026,4651612,LOT-2504-869,라벨확인
INV-00210,2024-03-30,대전창고,라이너지,70,조정,0,0,224,73187,16393888,LOT-2403-764,긴급
INV-00211,2024-01-24,부산물류센터,크라프트지,120,입고,148,0,758,48780,36975240,LOT-2401-284,라벨확인
INV-00212,2024-11-22,광주창고,스노우지,150,입고,190,0,227,37501,8512727,LOT-2411-016,라벨확인
INV-00213,2025-06-10,인천물류센터,백상지,300,조정,0,0,448,47763,21397824,LOT-2506-145,긴급
INV-00214,2024-09-07,안산창고,스노우지,150,출고,0,296,431,59074,25460894,LOT-2409-052,정상
INV-00215,2024-01-30,광주창고,아트지,80,입고,94,0,586,57948,33957528,LOT-2401-402,정상
INV-00216,2025-04-01,부산물류센터,아이보리지,150,입고,415,0,1087,79702,86636074,LOT-2504-687,라벨확인
INV-00217,2024-03-21,광주창고,복사용지,100,조정,0,0,1064,36374,38701936,LOT-2403-467,긴급
INV-00218,2025-04-21,광주창고,백상지,120,조정,0,0,435,89825,39073875,LOT-2504-373,재검수
INV-00219,2024-07-06,대전창고,아이보리지,250,입고,83,0,646,61151,39503546,LOT-2407-116,긴급
INV-00220,2025-05-05,광주창고,모조지,150,조정,0,0,462,38348,17716776,LOT-2505-521,
INV-00221,2025-02-19,인천물류센터,아이보리지,300,입고,455,0,1220,49799,60754780,LOT-2502-546,재검수
INV-00222,2025-02-14,부산물류센터,마닐라지,120,입고,330,0,941,40421,38036161,LOT-2502-998,재검수
INV-00223,2025-01-28,인천물류센터,아이보리지,120,출고,0,242,463,67172,31100636,LOT-2501-807,긴급
INV-00224,2024-08-29,안산창고,스노우지,250,조정,0,0,225,60337,13575825,LOT-2408-334,라벨확인
INV-00225,2024-04-09,광주창고,모조지,150,입고,356,0,818,37126,30369068,LOT-2404-702,라벨확인
INV-00226,2025-01-23,대전창고,라이너지,70,입고,468,0,692,39104,27059968,LOT-2501-909,라벨확인
INV-00227,2024-01-01,안산창고,모조지,250,출고,0,219,425,70342,29895350,LOT-2401-592,재검수
INV-00228,2024-07-19,안산창고,아이보리지,150,조정,0,0,672,58490,39305280,LOT-2407-736,긴급
INV-00229,2024-04-01,부산물류센터,아트지,300,입고,486,0,769,49279,37895551,LOT-2404-064,긴급
INV-00230,2024-02-24,인천물류센터,이면지,180,출고,0,35,177,45416,8038632,LOT-2402-443,라벨확인
INV-00231,2025-02-07,대전창고,마닐라지,200,출고,0,145,0,43842,0,LOT-2502-679,정상
INV-00232,2025-05-01,안산창고,백상지,300,출고,0,233,260,40110,10428600,LOT-2505-296,정상
INV-00233,2024-05-17,인천물류센터,스노우지,70,조정,0,0,273,61896,16897608,LOT-2405-674,재검수
INV-00234,2024-05-19,인천물류센터,모조지,200,조정,0,0,1103,57898,63861494,LOT-2405-639,정상
INV-00235,2025-04-10,부산물류센터,마닐라지,300,출고,0,201,359,44794,16081046,LOT-2504-191,재검수
INV-00236,2024-01-08,부산물류센터,라이너지,120,출고,0,230,383,65793,25198719,LOT-2401-591,긴급
INV-00237,2024-02-04,인천물류센터,복사용지,250,입고,347,0,824,61557,50722968,LOT-2402-985,
INV-00238,2024-05-25,부산물류센터,크라프트지,250,입고,317,0,946,88321,83551666,LOT-2405-625,
INV-00239,2024-09-08,광주창고,스노우지,300,출고,0,47,616,89217,54957672,LOT-2409-352,라벨확인
INV-00240,2024-01-12,광주창고,라이너지,300,조정,0,0,147,51726,7603722,LOT-2401-432,긴급
INV-00241,2024-10-28,대전창고,모조지,70,조정,0,0,700,77642,54349400,LOT-2410-804,라벨확인
INV-00242,2024-09-23,인천물류센터,라이너지,100,입고,386,0,1072,49120,52656640,LOT-2409-829,라벨확인
INV-00243,2024-01-28,대전창고,라이너지,80,조정,0,0,92,85800,7893600,LOT-2401-803,긴급
INV-00244,2024-09-15,안산창고,복사용지,150,출고,0,27,273,78590,21455070,LOT-2409-115,라벨확인
INV-00245,2024-06-27,부산물류센터,모조지,250,입고,183,0,795,81283,64619985,LOT-2406-718,정상
INV-00246,2025-05-11,안산창고,이면지,70,입고,124,0,575,69029,39691675,LOT-2505-957,정상
INV-00247,2025-05-22,광주창고,마닐라지,120,출고,0,105,671,43818,29401878,LOT-2505-592,긴급
INV-00248,2024-02-25,대전창고,스노우지,70,출고,0,207,0,61210,0,LOT-2402-309,재검수
INV-00249,2024-08-27,광주창고,마닐라지,250,입고,321,0,424,87034,36902416,LOT-2408-446,
INV-00250,2024-10-22,광주창고,마닐라지,180,조정,0,0,834,36380,30340920,LOT-2410-940,라벨확인
INV-00251,2024-12-28,광주창고,복사용지,150,출고,0,156,287,82580,23700460,LOT-2412-101,긴급
INV-00252,2025-02-04,광주창고,백상지,120,출고,0,112,323,50530,16321190,LOT-2502-561,
INV-00253,2024-01-09,인천물류센터,아트지,200,조정,0,0,176,74924,13186624,LOT-2401-457,긴급
INV-00254,2024-08-12,대전창고,크라프트지,120,입고,367,0,501,36025,18048525,LOT-2408-059,라벨확인
